,bestfit_value,bestfit_lower_err,bestfit_upper_err
Mh_min,11.005319707381764,0.1073614222500314,0.1165470016308471
Mh_1,11.825340187467788,0.4027873104352633,1.6606816240644946
alpha,1.270301705534025,0.6762654077106447,0.5299364814366763
sig_logM,0.2,,
Mh_0,11.28725854247552,2.6061183559308,3.562118034289016
sat_frac,,,
bias_gal,,,
