,bestfit_value,bestfit_lower_err,bestfit_upper_err
Mh_min,12.024358290953884,0.0372205718631537,0.0678246099163768
Mh_1,13.020911782213918,0.0612208372240754,0.1009211257394078
alpha,1.2457567352685814,0.1259376706423871,0.0936591181453907
sig_logM,0.2,,
Mh_0,12.195892954482577,2.346527836290297,2.3767000555619497
sat_frac,0.08185801265601521,0.009279067526717005,0.010934711739389633
bias_gal,2.8434321882924425,0.060494677764466154,0.06701068726699333
